[2024-01-06 02:01:54,008: INFO: main: Welcome to our custom log]
[2024-01-06 13:43:41,666: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 13:43:41,673: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 13:44:27,269: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 13:44:27,274: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 13:45:49,770: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 13:45:49,770: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 13:45:50,774: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 13:45:50,782: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 13:45:52,139: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 13:45:52,139: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 13:56:44,666: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 13:56:44,666: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 13:56:45,835: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 13:56:45,835: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 14:05:40,461: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 14:05:40,469: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 14:05:41,871: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 14:05:41,875: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 14:14:37,212: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 14:14:37,220: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 14:14:38,659: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 14:14:38,659: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 16:00:14,637: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 16:00:14,637: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 16:03:36,365: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 16:03:36,372: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 16:03:36,373: INFO: common: created directory at: artifacts]
[2024-01-06 16:03:36,373: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-06 16:03:36,373: INFO: 967806046: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view into file artifacts/data_ingestion/data.zip]
[2024-01-06 16:04:14,306: INFO: 967806046: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view into file artifacts/data_ingestion/data.zip]
[2024-01-06 16:51:37,373: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-01-06 16:51:37,373: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 16:51:37,373: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 16:51:37,373: INFO: common: created directory at: artifacts]
[2024-01-06 16:51:37,378: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-06 16:51:37,378: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view into file artifacts/data_ingestion/data.zip]
[2024-01-06 16:51:52,552: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view into file artifacts/data_ingestion/data.zip]
[2024-01-06 16:51:53,443: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
